Actividades según jerarquía (CNAE-2009);Índice y tasas;Periodo;Total
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2004M05;113,045
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2004M04;113,101
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2004M03;112,971
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2004M02;104,092
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2004M01;121,689
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2003M12;141,000
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2003M11;108,825
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2003M10;118,773
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2003M09;112,410
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2003M08;105,741
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2003M07;123,861
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2003M06;112,147
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2003M05;112,734
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2003M04;108,966
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2003M03;107,729
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2003M02;99,410
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2003M01;117,215
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2002M12;134,581
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2002M11;107,602
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2002M10;113,699
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2002M09;108,493
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2002M08;105,528
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2002M07;120,276
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2002M06;108,500
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2002M05;109,403
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2002M04;106,298
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2002M03;106,329
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2002M02;96,766
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2002M01;113,915
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2001M12;135,576
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2001M11;103,496
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2001M10;108,363
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2001M09;101,857
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2001M08;101,818
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2001M07;113,624
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2001M06;108,930
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2001M05;104,977
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2001M04;99,695
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2001M03;104,061
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2001M02;92,945
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2001M01;113,043
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2000M12;132,492
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2000M11;102,257
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2000M10;104,946
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2000M09;102,301
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2000M08;96,221
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2000M07;111,395
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2000M06;104,479
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2000M05;102,693
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2000M04;98,013
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2000M03;100,578
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2000M02;91,623
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2000M01;106,466
